RefCode;Author;AuthorsAffiliation;AuthorsInstitute;UniversityCountry 
B003;Evan A. N. Marks;Grupo de Investigación en Compostaje UBUCOMP, Universidad de Burgos, Burgos, Spain;Universidad de Burgos;Spain
B002;Francisco Javier Ortiz-Sanchez;Research Group “R&D Transfer in the Area of Natural Resources”, University of Almería, Ctra. de Sacramento s/n, La Cañada de San Urbano, 04120 Almería, Spain;University of Almeria;Spain
B003;Francisco M. Azcarate;Centro de Investigación en Biodiversidad y Cambio Global (CIBC-UAM), Universidad Autónoma de Madrid, Madrid, Spain;Universidad Autonoma de Madrid;Spain
B005;Gabriella A. Bishop;Plant Ecology and Nature Conservation Group, Wageningen University, Droevendaalsesteeg 3a, 6708PB Wageningen, the Netherlands;Wageningen University;Netherlands
B025 ;George A. Gale;Conservation Ecology Program, King Mongkut’s University of Technology Thonburi (KMUTT), 49 Soi Tientalay 25, Bangkhuntien-Chaitalay Road, Thakham, Bangkhuntien, Bangkok 10150, Thailand;King Mongkuts University of Technology Thonburi;Thailand
B006;George D. Hoffman;Department of Crop and Soil Science, Oregon State University, Corvallis, OR;Oregon State University;United States 
B017;George K. S. Andersson;Department of Biology,Lund University,Ecology building,223 62 Lund,Sweden.;Lund University;Sweden
B022 ;H. Michael G. Lattorff;International Centre of Insect Physiology and Ecology (Icipe), Nairobi 30772, Kenya;International Centre of Insect Physiology and Ecology (Icipe);Kenya
B022 ;H. Michael G. Lattorff;Department of Chemistry, University of Nairobi, P. O. Box 30197?00100, Nairobi, Kenya;University of Nairobi;Kenya
B002;Helena Ibanez;Biological Pest Control & Ecosystem Services Laboratory, Institute of Agricultural and Environmental Research and Development (IMIDA), C/Mayor s/n, 30150 Murcia, Spain;Institute of Agricultural and Environmental Research and Development (IMIDA);Spain
B017;Henrik G. Smith;Department of Biology,Lund University,Ecology building,223 62 Lund,Sweden.;Lund University;Sweden
B011;Hillary S. Sardiñas;Department of Environmental Science, Policy and Management, 130 Mulford Hall, University of California, Berkeley, CA 94720, USA;University of California;United States 
B001;Insafe El Abdouni;International Center of Agricultural Research in Dry Area (ICARDA), Station Exp. INRA-Quich, street Hafiane Cherkaoui. Agdal, 10090 Rabat, Morocco;International Center of Agricultural Research in Dry Area (ICARDA);Morocco
B001;Insafe El Abdouni;Laboratory of Zoology, Research Institute for Biosciences, University of Mons, Place du parc 20, 7000 Mons, Belgium;University of Mons;Belgium
B023 ;Irene Bottero;Department of Botany, School of Natural Sciences, Trinity College Dublin, Dublin, Republic of Ireland;Trinity College Dublin;Ireland
B020;Ismael Sanchez-Ramos;Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria, O.A., M.P. (INIA), Carretera de la Coruña Km 7.5, 28040 Madrid, Spain;Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria;Spain
B017;J. Arildsen;Department of Plant and Environmental Sciences,Faculty of Science,University of Copenhagen,Thorvaldsensvej 40,1871 Frederiksberg C,Denmark.;University of Copenhagen;Denmark
B023 ;Jane C. Stout;Department of Botany, School of Natural Sciences, Trinity College Dublin, Dublin, Republic of Ireland;Trinity College Dublin;Ireland
B006;Jason Gibbs;Department of Entomology, University of Manitoba, Winnipeg, Manitoba, Canada;University of Manitoba;Canada
B005;Jeroen Scheper;Plant Ecology and Nature Conservation Group, Wageningen University, Droevendaalsesteeg 3a, 6708PB Wageningen, the Netherlands;Wageningen University;Netherlands
B007;Jessica L. Knapp;University of Exeter, Penryn Campus, Penryn, Cornwall, TR10 9FE, UK;University of Exeter;United Kingdom
B003;Joana Alves;Department of Life Sciences, Centre for Functional Ecology, University of Coimbra, Coimbra, Portugal;University of Coimbra;Portugal
B003;Joao Loureiro;Department of Life Sciences, Centre for Functional Ecology, University of Coimbra, Coimbra, Portugal;University of Coimbra;Portugal
B003;Jorge Ortega-Marcos;Social-ecological systems Laboratory, Universidad Autónoma de Madrid, Madrid, Spain;Universidad Autonoma de Madrid;Spain
B004;Jorge Ortega-Marcos;Social-Ecological Systems Laboratory, Department of Ecology, Universidad Autónoma de Madrid, Darwin 2, 28049 Madrid, Spain;Universidad Autonoma de Madrid;Spain
B003;Jose A. Gonzalez;Social-ecological systems Laboratory, Universidad Autónoma de Madrid, Madrid, Spain;Universidad Autonoma de Madrid;Spain
B003;Jose Paulo Sousa;Department of Life Sciences, Centre for Functional Ecology, University of Coimbra, Coimbra, Portugal;University of Coimbra;Portugal
B002;Juan Antonio Sanchez;Biological Pest Control & Ecosystem Services Laboratory, Institute of Agricultural and Environmental Research and Development (IMIDA), C/Mayor s/n, 30150 Murcia, Spain;Institute of Agricultural and Environmental Research and Development (IMIDA);Spain
B006;Julia Brokaw;Department of Entomology, Michigan State University, East Lansing, MI, USA;Michigan State University;United States 
B006;Julia Brokaw;Department of Entomology, University of Minnesota, St. Paul, MN;University of Minnesota;United States 
B006;Julianna K. Wilson;Department of Entomology, Michigan State University, East Lansing, MI, USA;Michigan State University;United States 
B007;Juliet L. Osborne;University of Exeter, Penryn Campus, Penryn, Cornwall, TR10 9FE, UK;University of Exeter;United Kingdom
B006;Keith S. Mason;Department of Entomology, Michigan State University, East Lansing, MI, USA;Michigan State University;United States 
B006;Kimiora L. Ward;Department of Entomology and Nematology, University of California, Davis, CA, USA;University of California;United States 
B006;Kimiora L. Ward;Institute for Applied Ecology, Santa Fe, NM, USA;Santa Fe Institute;United States 
B022 ;Kurt Jordaens;Department of Biology, Invertebrates Section, Royal Museum for Central Africa, 3080 Tervuren, Belgium;Royal Museum for Central Africa;Belgium
B001;Laila Hamroud;International Center of Agricultural Research in Dry Area (ICARDA), Station Exp. INRA-Quich, street Hafiane Cherkaoui. Agdal, 10090 Rabat, Morocco;International Center of Agricultural Research in Dry Area (ICARDA);Morocco
B001;Laila Hamroud;Laboratory of Zoology, Research Institute for Biosciences, University of Mons, Place du parc 20, 7000 Mons, Belgium;University of Mons;Belgium
B006;Larry J. Gut;Department of Entomology, Michigan State University, East Lansing, MI, USA;Michigan State University;United States 
B017;Lene Sigsgaard;Department of Plant and Environmental Sciences,Faculty of Science,University of Copenhagen,Thorvaldsensvej 40,1871 Frederiksberg C,Denmark.;University of Copenhagen;Denmark
