RefCode ;EffectType;Mix;FlowerSpecies
B007;exporter;9;Stachys sylvatica
B007;exporter;9;Trifolium repens
B007;exporter;9;Viccia cracca
B007;concentrator;9;Angelica sylvestris
B007;concentrator;9;Crepis vesicaria
B007;concentrator;9;Digitalis purpurea
B007;concentrator;9;Geranium dissectum
B007;concentrator;9;Geranium robertianum
B007;concentrator;9;Sonchus asper
B007;concentrator;9;Stachys sylvatica
B007;concentrator;9;Trifolium repens
B007;concentrator;9;Viccia cracca
B008;neutral;10;Sphaeralcea obtusiloba (Hook.) G. Don
B008;neutral;10;Baccharis linearis (Ruiz & Pav.) Pers.
B008;neutral;10;Flourensia thurifera (Molina) DC.
B008;neutral;10;Lycium chilense Miers ex Bertero
B008;neutral;10;Eryngium paniculatum Cav. & Dombey ex F. Delaroche
B008;neutral;10;Encelia canescens Lam.
B008;neutral;10;Erigeron luxurians (Skottsb.) Solbrig
B008;neutral;10;Lepechinia salviae (Lindl.) Epling
B009;neutral;11;Achillea millefolium
B009;neutral;11;Andropogon gerardii
B009;neutral;11;Anemone canadensis
B009;neutral;11;Baptisia alba
B009;neutral;11;Coreopsis lanceolata
B009;neutral;11;Echinacea purpureum
B009;neutral;11;Elymus canadensis
B009;neutral;11;Eryngium yuccifolium
B009;neutral;11;Euthamia graminifolia
B009;neutral;11;Monarda fistulosa
B009;neutral;11;Monarda punctata 
B009;neutral;11;Oenothera biennis
B009;neutral;11;Penstemon digitalis
B009;neutral;11;Penstemon hirsutus
B009;neutral;11;Pycnanthemum virginianum
B009;neutral;11;Ratibida pinnata
B009;neutral;11;Rudbeckia hirta
B009;neutral;11;Rudbeckia triloba
B009;neutral;11;Schizachyrium scoparium
B009;neutral;11;Scrophularia marilandica
B009;neutral;11;Solidago nemoralis
B009;neutral;11;Forb Solidago rigida
B009;neutral;11;Solidago speciosa
B009;neutral;11;Sorghastrum nutans
B009;neutral;11;Symphyotrichum laeve
B009;neutral;11;Symphyotrichum novae-angliae
B009;neutral;11;Symphyotrichum urophyllum
B009;neutral;11;Tradescantia ohiensis
B009;neutral;11;Verbena stricta
B009;neutral;11;Zizia aurea
B010;exporter;12;Phacelia tanacetifolia
B010;neutral;12;Phacelia tanacetifolia
B011;concentrator;13;Ammi visnaga
B011;concentrator;13;Asclepia fascicularis
B011;concentrator;13;Atriplex triangularis
B011;concentrator;13;Brassica sp.
B011;concentrator;13;Centaurea solstitialis
B011;concentrator;13;Convolvulus arvensis
B011;concentrator;13;Daucus carota
B011;concentrator;13;Eriogonum fasciculatum
B011;concentrator;13;Foeniculum vulgare
B011;concentrator;13;Grindelia camporum
B011;concentrator;13;Heteromeles arbutifolia
B011;concentrator;13;Lactuca serriola
B011;concentrator;13;Lotus corniculatus
B011;concentrator;13;Picris echioides
B011;concentrator;13;Rosa californica
B011;concentrator;13;Sambucus mexicana
B012;neutral;14;Anchusa arvensis
B012;neutral;14;Anethum graveolens
B012;neutral;14;Anthemis tinctoria
B012;neutral;14;Camelina sativa
B012;neutral;14;Campanula patula
B012;neutral;14;Campanula rapunculoides
B012;neutral;14;Centaurea scabiosa
B012;neutral;14;Centaureus cyanus
B012;neutral;14;Cichorium intybus
B012;neutral;14;Crepis biennis
B012;neutral;14;Daucus carota
B012;neutral;14;Echium vulgare
B012;neutral;14;Hypochaeris radicata
B012;neutral;14;Leontodon hispidus
B012;neutral;14;Linum usitatissimum
B012;neutral;14;Lotus corniculatus
B012;neutral;14;Melilotus albus
B012;neutral;14;Onobrychis viciifolia
B012;neutral;14;Papaver rhoeas
B012;neutral;14;Phacelia tanacetifolia
B012;neutral;14;Picris hieracioides
B012;neutral;14;Reseda lutea
B012;neutral;14;Sinapis arvensis
B012;neutral;14;Stachys annua
B012;neutral;14;Trifolium hybridum
B012;neutral;14;Trifolium incarnatum
B012;neutral;14;Trifolium pratense
B012;neutral;14;Fagopyrum esculentum
B012;neutral;14;Lamium purpureum
B012;neutral;14;Vicia sativa
B012;exporter;14;Anchusa arvensis
B012;exporter;14;Anethum graveolens
B012;exporter;14;Anthemis tinctoria
B012;exporter;14;Camelina sativa
