RefCode ;CropType;FlowerSpecies;Mix
B006;cherry (Prunus cerasus);Sorghastrum nutans;6
B006;cherry (Prunus cerasus);Symphyotrichum laeve;6
B006;cherry (Prunus cerasus);Symphyotrichum novae-angliae;6
B006;cherry (Prunus cerasus);Symphyotrichum urophyllum;6
B006;cherry (Prunus cerasus);Tradescantia ohiensis;6
B006;cherry (Prunus cerasus);Verbena stricta;6
B006;cherry (Prunus cerasus);Zizia aurea;6
B006;watermelon (Citrullus lanatus);Clarkia williamsonii;8
B006;watermelon (Citrullus lanatus);Eschscholtzia californica;8
B006;watermelon (Citrullus lanatus);Grindelia camporum;8
B006;watermelon (Citrullus lanatus);Lupinus densiflorus;8
B006;watermelon (Citrullus lanatus);Lupinus succulentus;8
B006;watermelon (Citrullus lanatus);Phacelia californica;8
B006;watermelon (Citrullus lanatus);Phacelia ciliata;8
B006;watermelon (Citrullus lanatus);Phacelia tanacetifolia;8
B006;watermelon (Citrullus lanatus);Trichostema lanceolatum;8
B006;watermelon (Citrullus lanatus);Trifolium fulcatum;8
B006;watermelon (Citrullus lanatus);Monardella villosa;8
B007;courgette (Cucurbita pepo);Angelica sylvestris;9
B007;courgette (Cucurbita pepo);Crepis vesicaria;9
B007;courgette (Cucurbita pepo);Digitalis purpurea;9
B007;courgette (Cucurbita pepo);Geranium dissectum;9
B007;courgette (Cucurbita pepo);Geranium robertianum;9
B007;courgette (Cucurbita pepo);Sonchus asper;9
B007;courgette (Cucurbita pepo);Stachys sylvatica;9
B007;courgette (Cucurbita pepo);Trifolium repens;9
B007;courgette (Cucurbita pepo);Viccia cracca;9
B008;avocado (Persea americana);Sphaeralcea obtusiloba (Hook.) G. Don;10
B008;avocado (Persea americana);Baccharis linearis (Ruiz & Pav.) Pers.;10
B008;avocado (Persea americana);Flourensia thurifera (Molina) DC.;10
B008;avocado (Persea americana);Lycium chilense Miers ex Bertero;10
B008;avocado (Persea americana);Eryngium paniculatum Cav. & Dombey ex F. Delaroche;10
B008;avocado (Persea americana);Encelia canescens Lam.;10
B008;avocado (Persea americana);Erigeron luxurians (Skottsb.) Solbrig;10
B008;avocado (Persea americana);Lepechinia salviae (Lindl.) Epling;10
B009;blueberry (Vaccinium corymbosum);Achillea millefolium;11
B009;blueberry (Vaccinium corymbosum);Andropogon gerardii;11
B009;blueberry (Vaccinium corymbosum);Anemone canadensis;11
B009;blueberry (Vaccinium corymbosum);Baptisia alba;11
B009;blueberry (Vaccinium corymbosum);Coreopsis lanceolata;11
B009;blueberry (Vaccinium corymbosum);Echinacea purpureum;11
B009;blueberry (Vaccinium corymbosum);Elymus canadensis;11
B009;blueberry (Vaccinium corymbosum);Eryngium yuccifolium;11
B009;blueberry (Vaccinium corymbosum);Euthamia graminifolia;11
B009;blueberry (Vaccinium corymbosum);Monarda fistulosa;11
B009;blueberry (Vaccinium corymbosum);Monarda punctata ;11
B009;blueberry (Vaccinium corymbosum);Oenothera biennis;11
B009;blueberry (Vaccinium corymbosum);Penstemon digitalis;11
B009;blueberry (Vaccinium corymbosum);Penstemon hirsutus;11
B009;blueberry (Vaccinium corymbosum);Pycnanthemum virginianum;11
B009;blueberry (Vaccinium corymbosum);Ratibida pinnata;11
B009;blueberry (Vaccinium corymbosum);Rudbeckia hirta;11
B009;blueberry (Vaccinium corymbosum);Rudbeckia triloba;11
B009;blueberry (Vaccinium corymbosum);Schizachyrium scoparium;11
B009;blueberry (Vaccinium corymbosum);Scrophularia marilandica;11
B009;blueberry (Vaccinium corymbosum);Solidago nemoralis;11
B009;blueberry (Vaccinium corymbosum);Forb Solidago rigida;11
B009;blueberry (Vaccinium corymbosum);Solidago speciosa;11
B009;blueberry (Vaccinium corymbosum);Sorghastrum nutans;11
B009;blueberry (Vaccinium corymbosum);Symphyotrichum laeve;11
B009;blueberry (Vaccinium corymbosum);Symphyotrichum novae-angliae;11
B009;blueberry (Vaccinium corymbosum);Symphyotrichum urophyllum;11
B009;blueberry (Vaccinium corymbosum);Tradescantia ohiensis;11
B009;blueberry (Vaccinium corymbosum);Verbena stricta;11
B009;blueberry (Vaccinium corymbosum);Zizia aurea;11
B009;cherry (Prunus cerasus);Achillea millefolium;11
B009;cherry (Prunus cerasus);Andropogon gerardii;11
B009;cherry (Prunus cerasus);Anemone canadensis;11
B009;cherry (Prunus cerasus);Baptisia alba;11
B009;cherry (Prunus cerasus);Coreopsis lanceolata;11
B009;cherry (Prunus cerasus);Echinacea purpureum;11
B009;cherry (Prunus cerasus);Elymus canadensis;11
B009;cherry (Prunus cerasus);Eryngium yuccifolium;11
B009;cherry (Prunus cerasus);Euthamia graminifolia;11
B009;cherry (Prunus cerasus);Monarda fistulosa;11
B009;cherry (Prunus cerasus);Monarda punctata ;11
B009;cherry (Prunus cerasus);Oenothera biennis;11
B009;cherry (Prunus cerasus);Penstemon digitalis;11
B009;cherry (Prunus cerasus);Penstemon hirsutus;11
