RefCode ;FlowerSpecies
B020;Borago officinalis
B020;Diplotaxis virgata Cav.
B020;Diplotaxis catholica
B020;Medicago sativa
B020;Salvia verbenaca
B020;Silene vulgaris
B020;Vicia sativa
B021;Eryngium paniculatum Cav. & Dombey ex F. Delaroche
B021;Baccharis linearis (Ruiz & Pav.) Pers.
B021;Encelia canescens Lam.
B021;Erigeron luxurians (Skottsb.) Solbrig
B021;Eupatorium salvium Colla
B021;Flourensia thurifera (Molina) DC.
B021;Haplopappus integerrimus (Hook. & Arn.) H.M. Hall
B021;Senna cumingii (Hook. & Arn.) H.S. Irwin & Barneby
B021;Lepechinia salviae (Lindl.) Epling
B021;Sphaeralcea obtusiloba (Hook.) G. Don
B021;Lycium chilense Miers ex Bertero
B021;Alonsoa meridionalis
B021;Baccharis romboidalis
B021;Eryngium paniculatum
B021;Haploapappus macrocephalus
B022;Medicago sativa
B022;Trifolium hybridum
B022;Lotus corniculatus
B022;Trifolium incarnatum
B022;Onobrychis viciifolia
B022;Rudbeckia hirta
B022;Astragalus canadensis
B022;Asclepias syriaca
B022;Oenothera biennis
B022;Heliopsis helianthoides
B022;Penstemon digitalis
B022;Verbena stricta
B022;Veronia fasciculata
B022;Helianthus maxmilliani
B022;Aster novae-angliae
B022;Medicago sativa
B022;Trifolium hybridum
B022;Lotus corniculatus
B022;Trifolium incarnatum
B022;Trifolium repens
B022;Trifolium pratense
B022;Onobrychis viciifolia
B022;Melilotus officinalis
B022;Verbena stricta
B022;Helianthus maxmilliani
B022;Chamaecrista fasciculata
B022;Phacelia angelia
B022;Solidago speciosa
B022;Aster azureus
B022;Aster laevis
B022;Elymus canadensis
B022;Sorghastrum nutans
B022;Schizachyrium scoparium
B023;Helianthus annuus
B023;Coriandrum sativum
B023;Medicago sativa
B024;Alliaria petolata
B024;Anthriscus sylvestris
B024;Brassica napus
B024;Capsellabursa pastoris
B024;Cardamine pratensis
B024;Cerastium arvense
B024;Cerastium fontanum
B024;Crataegus monogyna
B024;Euphorbia helioscopa
B024;Fumaria muralis
B024;Fumaria officinalis
B024;Fumaria sp.
B024;Geranium robertianum
B024;Labium hybridum
B024;Matricaria discoidea
B024;Medicago lupulina
B024;Papaver sp.
B024;Poa annua
B024;Senecio vulgare
